Ticker,Stock_Name,noise,Channel_Name,Channel_link
A,Agilent Technologies,1,Agilent Technologies,https://www.youtube.com/user/agilent
A,Agilent Technologies,1,"Value Investing with Sven Carlin, Ph.D.",https://www.youtube.com/channel/UCrTTBSUr0zhPU56UQljag5A
A,Agilent Technologies,1,CNBC Television,https://www.youtube.com/channel/UCrp_UI8XtuYfpiqluWLD7Lw
A,Agilent Technologies,1,The Average Joe Investor,https://www.youtube.com/channel/UCN9_N18CDKFh2n1rjd41NvQ
A,Agilent Technologies,1,Star,https://www.youtube.com/channel/UCuPnGgHJzIJ2t4wcBdEkmoA
A,Agilent Technologies,1,Charlie Chang,https://www.youtube.com/user/charjenmusic
A,Agilent Technologies,1,Paul NGumah,https://www.youtube.com/channel/UC64YPvehSqRoNsBtzkyYfGg
A,Agilent Technologies,1,Jerry Romine Entrepreneur Abroad,https://www.youtube.com/user/padnag1
A,Agilent Technologies,1,Investor Center,https://www.youtube.com/channel/UC2cL3pI1H3tiozKif6A8fmA
A,Agilent Technologies,1,"Let's Talk Money! with Joseph Hogue, CFA",https://www.youtube.com/channel/UCbKdotYtcY9SxoU8CYAXdvg
A,Agilent Technologies,1,Wall Street Millennial,https://www.youtube.com/channel/UCUyH4QfXX-5NOT0bULqG6lQ
A,Agilent Technologies,1,New York Stock Exchange,https://www.youtube.com/user/nysetv1
A,Agilent Technologies,1,Deadnsyde,https://www.youtube.com/channel/UCLF4C8ikMjOElQrNhTrO8yg
A,Agilent Technologies,1,Business Basics,https://www.youtube.com/channel/UCfWNZIJkm268rLO_yeRlcww
A,Agilent Technologies,1,TPG Investing,https://www.youtube.com/channel/UCP8R_EKBKptcylykLfXoPDg
A,Agilent Technologies,1,JT Wealth,https://www.youtube.com/channel/UC0h64epNmMIPYuqSGKCrj9Q
A,Agilent Technologies,1,TheMeasurementBlues,https://www.youtube.com/user/TheMeasurementBlues
A,Agilent Technologies,1,Minju David Lee,https://www.youtube.com/user/soma9nice
A,Agilent Technologies,1,Schrute Stocks - Invest,https://www.youtube.com/channel/UC2PaiICVKv8EIWjvyeMv6eQ
A,Agilent Technologies,1,Chicken Genius Singapore,https://www.youtube.com/channel/UC0OnreqP55xLpA6W5nzxb5Q
AAL,American Airlines Group,0,Everything Money,https://www.youtube.com/channel/UChBVf9YnourrEDTsbbwJPRA
AAL,American Airlines Group,0,Money Dad,https://www.youtube.com/channel/UC0qB_3XYgujbqYr9vOPPXcg
AAL,American Airlines Group,0,Ideal Trading Idea's,https://www.youtube.com/channel/UC-lYhNd49gBAccRsu_AT6WA
AAL,American Airlines Group,0,Ricky Gutierrez,https://www.youtube.com/channel/UCtlAFoYl2aWb6pMiHCctQHA
AAL,American Airlines Group,0,WallStreetTraders,https://www.youtube.com/channel/UCzLXZKVhnn9L57I4rsL0t8g
AAL,American Airlines Group,0,Carter Farr,https://www.youtube.com/channel/UCtLCYjLS_Q8BjoXP3TWkzmg
AAL,American Airlines Group,0,OptionsGeek,https://www.youtube.com/channel/UCdYlhAt6cT-4-YAyQRcfFZQ
AAL,American Airlines Group,0,TipRanks™,https://www.youtube.com/channel/UCGNXpSXu1WdSbq5Wr-29ohA
